SKU,Model,MSE,RMSE,MAE,R2
0026859-S,Lasso,16.421316964285715,4.052322416131979,3.642857142857143,0.18247952120904243
0027443-S,Elastic Net,6.875483983412782,2.622114410816733,2.139358252261478,0.17699942343188635
0027451-S,Elastic Net,77.2764735174842,8.790703812407981,5.220652363509506,0.04840250477595254
0027453-S,Random Forest,20.798060187109026,4.560489029381501,2.124652030509174,0.05111271027156261
0027454-S,Elastic Net,3.6252915672973893,1.9040198442498937,1.2750145654764093,0.046232017194243746
0027463-S,Ridge,0.4044290110595718,0.6359473335580328,0.5154268505050091,0.2378068637723456
0027464-S,Ridge,26.740467503506064,5.171118593061473,3.7025541357410665,0.3586476222849746
0027466-S,Decision Tree,21.675925925925927,4.655741179009625,3.1388888888888893,0.23252192443242337
0027467-S,Ridge,55.81874528918318,7.471194368317771,4.662625738563629,0.07344100038704571
0027470-S,Linear Regression,6.770853482687591,2.6020863711044626,1.7741353648793707,0.2730150962044453
0027475-S,Gradient Boosting,13.555659824838889,3.681801165847891,2.6407744570012555,0.5986811236067434
0027476-S,SVR,16.2014851734904,4.025106852431423,2.0516751179233195,0.04076464336942587
0027477-S,Ridge,2.2843751496557996,1.5114149495276932,1.2008677021960366,0.41700842534825944
0027478-S,Random Forest,15.874541649630675,3.984286843292119,2.5625774582560297,0.20301993767223014
0027481-S,SVR,5.329238527927645,2.3085143551487057,1.7438712059032098,0.033646661781360665
0027500-S,Lasso,75.33265248119282,8.67943848881901,5.677323330752595,0.18266261354476632
0027556-F,SVR,1.4548765612467354,1.2061826400867885,0.8233710181895368,0.09634996195854939
0027560-S,SVR,5.03769141718062,2.2444802109131237,1.2355960692817378,0.03307266464863334
0027617-S,Elastic Net,2.787279112813899,1.6695146339022904,1.1681695788871451,0.28211996568787867
0027626-S,Elastic Net,13.184065008235198,3.6309867816111914,3.0617283950617287,0.07299542910846268
0027640-S,SVR,2.8903819739447223,1.7001123415659103,0.6805600917706826,0.12709573668233354
0027665-S,Linear Regression,5.039385152516259,2.24485749046933,1.6898819887792609,0.1064919942347059
0027719-S,Elastic Net,8.95796430859194,2.992985851719306,2.673049052956717,0.5384805508274635
0027724-S,Ridge,31.34450600263721,5.598616436463317,2.4453402366863912,0.051696828778072246
0027734-S,Linear Regression,23.655815929995747,4.863724491580063,3.6024679017907415,0.21733890129810474
0027735-S,Ridge,14.537509802635638,3.8128086501469802,3.2281950808714486,0.7014776237368867
0027738-S,SVR,11.6314024959722,3.4104842025689255,2.4566066428125692,0.07664848553643122
0027885-S,SVR,9.047017564255652,3.0078260528587175,1.5994567122175845,0.03629595511189765
0027886-S,Elastic Net,6.086734693877552,2.4671308627386495,2.020408163265306,0.04483586869495593
0027887-S,Elastic Net,6.185200932224743,2.4870064198197683,1.3543083900226756,0.0030432707927223746
0027892-F,Linear Regression,5.892207870288403,2.427387045835172,1.7429086350101866,0.08961595137174871
