SKU,Model,MSE,RMSE,MAE,R2,Percent Change,Difference
0069941-S,Random Forest,4.738528281250001,2.1768160880630227,1.0549791666666666,0.1158431195335275,,
0070167-S,SVR,12.3123964792986,3.508902460784369,3.408631961327656,0.2380942772711263,,
0070192-S,Random Forest,54.9446884426729,7.412468444632523,4.829200396825398,0.2599045198993412,,
0070260-S,Linear Regression,3.990841755102261,1.997709126750504,1.54431706730748,0.0025862339686441,,
0070272-S,Linear Regression,6.006929836682374,2.450903881567446,1.9149152683169963,0.0668846855639031,,
0070277-S,Elastic Net,29.52105991084119,5.433328621650009,3.928667845090792,0.0672650897048597,,
0070284-S,SVR,107.60313218690877,10.373192960073034,7.717680990894388,0.1033819499465982,,
0070285-S,Random Forest,164.68941463195668,12.833137365116787,10.51547971781305,0.2682478011416078,,
0070288-S,Lasso,930.844124030005,30.509738183570256,21.96904406273338,0.1767468324385951,,
0070340-S,SVR,67.04129362871984,8.187874793175567,6.174126988351078,0.0877494403494376,,
0070538-S,Decision Tree,34.275999999999996,5.85457086386355,3.9,0.2614522732169789,,
0070542-S,Second Degree Approximation,7.893346422389494,2.809509996848115,2.0684395690705384,0.0182320148355973,,
0070545-S,Decision Tree,214.248,14.63721284944644,10.96,0.176887317991471,,
0070550-S,Decision Tree,2653.2599999999993,51.509804891884414,43.42,0.7914675926180632,,
0070552-S,Second Degree Approximation,0.7945808045377865,0.8913926208679239,0.6284005361951663,0.0042023324248581,,
0070564-S,Exponential Smoothing w/ Trend & Seasonality,3.8560368124621167,1.9636794067418737,1.384144143453612,0.0504575107102153,,
0070576-S,SVR,507.5292988578887,22.52841092615919,15.560638992119973,0.0259302570668495,,
0070601-S,CatBoost,173.19343639930784,13.160297732168065,7.398560614397506,0.2515408971507872,,
0070630-S,XGBoost,52.29598471704358,7.231596277243605,4.125886837641398,0.2928255822903955,,
0070639-X,Lasso,2.430379156846077,1.5589673366835102,0.980636052733223,0.0120409931520012,,
0070721-S,XGBoost,4.113910666410181,2.028277758693365,1.61655990825966,0.1447171171704406,,
0070870-S,Exponential Smoothing w/ Trend & Seasonality,1.135052668737368,1.0653885060096002,0.7118345178779512,0.0438166914914459,,
0071003-S,Linear Regression,1.9894802372950315,1.4104893609294016,0.9022545694044016,0.0028886295797845,,
0071014-S,Decision Tree,133.71818181818182,11.563657804439814,8.98181818181818,0.4571596322888009,,
0071017-S,SVR,21.61542181258066,4.649238842281676,3.4645150765391484,0.1053219448435156,,
0071021-S,Elastic Net,71.45742781203722,8.453249541569042,6.990648317138769,0.3081863896598197,,
0071022-S,CatBoost,325.3900982633324,18.03857251179628,12.909638198093491,0.5786412277746136,,
0071026-S,Exponential Smoothing w/ Trend & Seasonality,3.22121179254724,1.7947734655235017,0.955033395087475,0.0051163130851334,,
0071031-S,Elastic Net,54.06573806324516,7.352940776535954,6.445661070188245,0.1036993894550023,,
0071200-S,Elastic Net,1.3361687198131662,1.1559276447136153,1.0619736157122328,0.3352394428790218,,
0071290-S,CatBoost,91.71573764172696,9.576833382790314,5.361785265728448,0.2035799093285258,,
0071292-S,CatBoost,79.19490352635002,8.899151843088756,7.684423369710579,0.4397644062935057,,
0071294-S,XGBoost,53.34070157069381,7.303471884706192,4.011546431947499,0.4760760085385148,,
0071295-S,Decision Tree,65.468,8.091229819996464,5.7,0.139145299145299,,
0071321-S,Second Degree Approximation,1.6029733290291008,1.2660858300404048,0.8369415408619303,0.0010781222277903,,
0071323-S,Exponential Smoothing w/ Trend & Seasonality,0.6535668529390576,0.8084348167533716,0.4565260823916011,0.0137915609586783,,
0071326-S,Decision Tree,3.497777777777778,1.8702346852140717,1.4444444444444444,0.3441666666666665,,
0071361-S,Decision Tree,488.9,22.111083193728884,14.9,0.6027141231919388,,
0071362-S,SVR,60.25585093635623,7.762464230922822,5.553008026766232,0.0924648706127082,,
