,date,sales,sales_diff
430,2023-10-31 07:53:03,100,0.0
431,2023-10-31 08:12:04,100,0.0
432,2023-10-31 08:12:19,100,0.0
433,2023-10-31 08:25:26,100,0.0
434,2023-10-31 08:42:44,100,0.0
435,2023-10-31 08:45:49,100,0.0
436,2023-10-31 08:48:42,100,0.0
377,2023-10-31 10:14:25,100,0.0
378,2023-10-31 10:46:37,100,0.0
379,2023-10-31 10:49:17,100,0.0
380,2023-10-31 10:51:16,100,0.0
381,2023-10-31 10:57:42,100,0.0
382,2023-10-31 10:58:09,100,0.0
383,2023-10-31 11:01:15,100,0.0
384,2023-10-31 11:03:24,100,0.0
385,2023-10-31 11:10:38,100,0.0
386,2023-10-31 11:17:17,100,0.0
387,2023-10-31 11:24:16,100,0.0
388,2023-10-31 11:25:08,100,0.0
389,2023-10-31 11:29:34,100,0.0
390,2023-10-31 11:31:57,100,0.0
391,2023-10-31 11:39:02,100,0.0
392,2023-10-31 11:43:37,100,0.0
393,2023-10-31 12:03:35,100,0.0
394,2023-10-31 12:07:14,100,0.0
395,2023-10-31 12:07:17,100,0.0
396,2023-10-31 12:23:09,100,0.0
397,2023-10-31 12:42:34,100,0.0
398,2023-10-31 12:45:03,100,0.0
562,2023-11-01 02:10:04,20,-80.0
563,2023-11-01 02:48:53,100,80.0
564,2023-11-01 08:34:28,100,0.0
565,2023-11-01 08:36:53,100,0.0
566,2023-11-01 08:38:14,100,0.0
567,2023-11-01 08:46:01,100,0.0
568,2023-11-01 08:53:35,100,0.0
569,2023-11-01 08:55:40,100,0.0
570,2023-11-01 09:04:18,100,0.0
571,2023-11-01 09:34:11,100,0.0
572,2023-11-01 09:40:24,100,0.0
573,2023-11-01 09:40:36,100,0.0
557,2023-11-01 10:00:18,100,0.0
558,2023-11-01 10:29:10,100,0.0
559,2023-11-01 11:24:23,100,0.0
560,2023-11-01 11:49:07,100,0.0
561,2023-11-01 12:33:23,100,0.0
598,2023-11-02 02:39:49,12,-88.0
596,2023-11-02 11:14:34,20,8.0
597,2023-11-02 11:34:46,100,80.0
646,2023-11-03 03:24:18,100,0.0
647,2023-11-03 07:27:07,100,0.0
653,2023-11-06 09:12:48,100,0.0
652,2023-11-06 11:01:31,100,0.0
655,2023-11-07 09:31:46,100,0.0
654,2023-11-07 10:36:53,100,0.0
668,2023-11-08 01:46:33,100,0.0
669,2023-11-08 01:46:38,100,0.0
670,2023-11-08 01:47:36,100,0.0
671,2023-11-08 02:04:19,100,0.0
672,2023-11-08 02:14:24,100,0.0
673,2023-11-08 02:14:40,100,0.0
674,2023-11-08 02:15:32,100,0.0
675,2023-11-08 02:20:38,100,0.0
676,2023-11-08 02:26:41,100,0.0
677,2023-11-08 02:46:39,100,0.0
678,2023-11-08 03:49:07,100,0.0
679,2023-11-08 04:07:30,100,0.0
680,2023-11-08 08:36:09,100,0.0
681,2023-11-08 09:47:30,100,0.0
656,2023-11-08 10:00:05,100,0.0
657,2023-11-08 11:44:18,100,0.0
658,2023-11-08 12:11:23,100,0.0
659,2023-11-08 12:15:54,100,0.0
660,2023-11-08 12:27:10,100,0.0
661,2023-11-08 12:31:34,100,0.0
662,2023-11-08 12:35:37,100,0.0
663,2023-11-08 12:38:05,100,0.0
664,2023-11-08 12:41:11,100,0.0
665,2023-11-08 12:41:31,100,0.0
666,2023-11-08 12:47:01,100,0.0
667,2023-11-08 12:47:06,100,0.0
696,2023-11-09 08:21:28,100,0.0
697,2023-11-09 08:21:43,100,0.0
698,2023-11-09 08:26:44,100,0.0
699,2023-11-09 08:28:40,100,0.0
700,2023-11-09 08:45:53,100,0.0
701,2023-11-09 08:49:01,100,0.0
702,2023-11-09 09:00:44,100,0.0
703,2023-11-09 09:04:33,100,0.0
704,2023-11-09 09:29:04,100,0.0
682,2023-11-09 10:39:21,100,0.0
683,2023-11-09 11:20:18,100,0.0
684,2023-11-09 11:24:22,100,0.0
685,2023-11-09 11:25:45,100,0.0
686,2023-11-09 11:30:49,100,0.0
687,2023-11-09 11:37:36,100,0.0
688,2023-11-09 12:00:04,100,0.0
689,2023-11-09 12:07:26,100,0.0
690,2023-11-09 12:13:04,100,0.0
691,2023-11-09 12:19:03,100,0.0
692,2023-11-09 12:25:33,100,0.0
693,2023-11-09 12:25:41,100,0.0
694,2023-11-09 12:28:36,100,0.0
695,2023-11-09 12:38:38,100,0.0
575,2023-11-10 01:49:20,100,0.0
574,2023-11-10 12:53:35,100,0.0
576,2023-11-13 01:46:16,100,0.0
578,2023-11-14 03:20:47,100,0.0
579,2023-11-14 09:32:26,100,0.0
580,2023-11-14 09:38:29,100,0.0
577,2023-11-14 12:20:38,100,0.0
587,2023-11-15 01:48:37,100,0.0
588,2023-11-15 01:55:21,100,0.0
589,2023-11-15 03:13:38,100,0.0
590,2023-11-15 09:13:44,100,0.0
581,2023-11-15 11:04:59,100,0.0
582,2023-11-15 11:30:30,100,0.0
583,2023-11-15 11:46:58,100,0.0
584,2023-11-15 12:02:42,100,0.0
585,2023-11-15 12:14:42,100,0.0
586,2023-11-15 12:31:12,100,0.0
591,2023-11-16 01:42:24,100,0.0
592,2023-11-16 01:50:12,100,0.0
593,2023-11-16 02:06:18,100,0.0
594,2023-11-16 08:22:40,100,0.0
595,2023-11-16 09:00:41,100,0.0
599,2023-11-20 02:24:52,100,0.0
600,2023-11-20 02:29:16,100,0.0
601,2023-11-20 02:29:44,100,0.0
602,2023-11-20 02:54:56,100,0.0
603,2023-11-20 04:11:50,100,0.0
609,2023-11-21 01:15:38,100,0.0
